"date,count,total_count,ratio"
2015-06-23,136,18183,0.007479513831600946
2015-06-24,169,18710,0.009032602886157134
2015-06-25,441,19592,0.02250918742343814
2015-06-26,361,18266,0.019763495018066353
2015-06-27,103,8107,0.012705069692858024
2015-06-28,97,8496,0.01141713747645951
2015-06-29,719,17415,0.04128624748779788
2015-06-30,568,19130,0.029691583899634083
2015-07-01,712,19694,0.03615314308926577
2015-07-02,667,17908,0.03724592360955997
2015-07-03,282,11803,0.023892230788782512
2015-07-04,178,7583,0.02347355927733087"
""
"2015-07-05,194,8493,0.022842340751206877
2015-07-06,424,15967,0.026554769211498717
2015-07-07,525,17888,0.02934928443649374
2015-07-08,759,18965,0.04002109148431321
2015-07-09,813,18894,0.043029533185138136
2015-07-10,597,18464,0.03233318890814558
2015-07-11,338,8687,0.03890871417059975
2015-07-12,424,8708,0.048690858980248046
2015-07-13,623,17223,0.03617255994890553
2015-07-14,585,19461,0.03006012024048096
2015-07-15,648,19173,0.03379752777343139
2015-07-16,443,18792,0.023573861217539377
2015-07-17,498,17290,0.028802776171197225
2015-07-18,474,7498,0.06321685782875433
2015-07-19,425,7782,0.05461320997172963
2015-07-20,893,17016,0.05248001880582981
2015-07-21,916,17688,0.05178652193577567
2015-07-22,853,18693,0.04563205477986412
2015-07-23,817,18302,0.04463993006228827
2015-07-24,567,17062,0.03323174305474153
2015-07-25,221,7497,0.02947845804988662
2015-07-26,368,8154,0.04513122393917096
2015-07-27,602,16096,0.03740059642147117
2015-07-28,598,18714,0.03195468633108903
2015-07-29,619,19365,0.031964885101988125
2015-07-30,640,18618,0.034375335696637664
2015-07-31,471,18369,0.02564102564102564
2015-08-01,222,8205,0.027056672760511883
2015-08-02,356,7973,0.04465069609933526
2015-08-03,625,17204,0.036328760753313184
2015-08-04,894,19485,0.04588144726712856"
""
"2015-08-05,736,18981,0.03877561772298614
2015-08-06,1348,19467,0.06924538963373915
2015-08-07,1658,18240,0.09089912280701755
2015-08-08,622,7872,0.07901422764227642
2015-08-09,524,8366,0.06263447286636385
2015-08-10,841,17341,0.04849777982815293
2015-08-11,905,17707,0.05110973061501101
2015-08-12,1015,20189,0.050274902174451436
2015-08-13,707,19275,0.03667963683527886
2015-08-14,572,17413,0.032849020846494
2015-08-15,455,8148,0.05584192439862543
2015-08-16,472,8498,0.055542480583666745
2015-08-17,884,16185,0.05461847389558233
2015-08-18,774,18023,0.04294512567275149
2015-08-19,733,18514,0.039591660365129094
2015-08-20,967,18428,0.052474495333188625
2015-08-21,740,17444,0.042421462967209354
2015-08-22,361,8142,0.04433800049127978
2015-08-23,343,8333,0.04116164646585863
2015-08-24,707,16436,0.04301533219761499
2015-08-25,1034,17555,0.05890059812019368
2015-08-26,978,18290,0.053471842536905415
2015-08-27,857,18545,0.04621191695874899
2015-08-28,651,17473,0.037257482973730896
2015-08-29,379,8314,0.04558575896078903
2015-08-30,316,8765,0.036052481460353676
2015-08-31,576,16615,0.03466746915437857
2015-09-01,748,18616,0.04018048990116029
2015-09-02,670,19164,0.03496138593195575
2015-09-03,1346,21891,0.06148645562103147
2015-09-04,666,16432,0.04053067185978578"
""
"2015-09-05,313,8790,0.03560864618885097
2015-09-06,343,8079,0.042455749473944794
2015-09-07,281,10165,0.02764387604525332
2015-09-08,738,17729,0.04162671329460207
2015-09-09,1212,19898,0.06091064428585787
2015-09-10,933,19733,0.04728120407439315
2015-09-11,827,18871,0.04382385671135605
2015-09-12,462,9385,0.04922749067661161
2015-09-13,445,9841,0.045218981810791585
2015-09-14,1089,18617,0.05849492399419885
2015-09-15,1003,19582,0.051220508630374834
2015-09-16,1702,21289,0.07994739067123867
2015-09-17,1869,21475,0.0870314318975553
2015-09-18,987,19346,0.05101829835624935
2015-09-19,521,10351,0.050333301130325574
2015-09-20,721,11505,0.0626684050412864
2015-09-21,1146,18833,0.06085063452450486
2015-09-22,872,20005,0.04358910272431892
2015-09-23,1080,19530,0.055299539170506916
2015-09-24,797,20341,0.039181947790177474
2015-09-25,617,19635,0.03142347848230201
2015-09-26,245,9763,0.025094745467581687
2015-09-27,321,10618,0.03023168204935016
2015-09-28,774,19560,0.039570552147239264
2015-09-29,668,20138,0.03317111927698878
2015-09-30,650,20964,0.031005533295172676
2015-10-01,910,26587,0.03422725392108925
2015-10-02,533,19439,0.027419105921086477
2015-10-03,207,10493,0.019727437339178498
2015-10-04,371,11145,0.03328847016599372
2015-10-05,583,19392,0.03006394389438944"
""
"2015-10-06,509,19976,0.025480576692030438
2015-10-07,630,21123,0.02982530890498509
2015-10-08,519,21632,0.02399223372781065
2015-10-09,473,19380,0.02440660474716202
2015-10-10,220,10290,0.021379980563654033
2015-10-11,493,10901,0.045225208696449866
2015-10-12,667,17547,0.038012195816948764
2015-10-13,1013,19851,0.051030174802276965
2015-10-14,664,20353,0.032624183167100675
2015-10-15,629,19972,0.031494091728419785
2015-10-16,644,18776,0.034299105240732854
2015-10-17,230,9189,0.025029927086734138
2015-10-18,373,9987,0.03734855311905477
2015-10-19,622,17898,0.0347524863113197
2015-10-20,673,20181,0.03334819880085229
2015-10-21,550,20603,0.026695141484249868
2015-10-22,517,20737,0.024931282249119932
2015-10-23,552,18943,0.029140051734149817
2015-10-24,241,9781,0.024639607402106124
2015-10-25,628,10184,0.06166535742340927
2015-10-26,916,18505,0.04950013509862199
2015-10-27,763,20257,0.03766599200276448
2015-10-28,1325,21880,0.060557586837294335
2015-10-29,1083,21545,0.050266883267579485
2015-10-30,575,20009,0.028737068319256334
2015-10-31,242,10061,0.024053275022363582
2015-11-01,259,10573,0.024496358649389954
2015-11-02,581,19247,0.030186522574946743
2015-11-03,683,20676,0.03303346875604566
2015-11-04,727,20978,0.03465535322719039
2015-11-05,804,21291,0.03776243483161899"
""
"2015-11-06,680,19435,0.03498842294828917
2015-11-07,385,9571,0.040225681746943895
2015-11-08,632,10551,0.05989953558904369
2015-11-09,625,18486,0.033809369252407226
2015-11-10,1142,20559,0.055547448805875775
2015-11-11,1066,20099,0.05303746455047515
2015-11-12,751,21905,0.03428440995206574
2015-11-13,795,20264,0.03923213580734307
2015-11-14,367,11090,0.03309287646528404
2015-11-15,333,11169,0.029814665592264304
2015-11-16,745,21125,0.035266272189349114
2015-11-17,586,20455,0.028648252261060866
2015-11-18,577,21500,0.026837209302325582
2015-11-19,813,21475,0.03785797438882421
2015-11-20,733,19417,0.037750424885409695
2015-11-21,353,10255,0.034422233057045344
2015-11-22,575,10806,0.05321117897464372
2015-11-23,843,18196,0.04632886348648055
2015-11-24,1014,18986,0.05340777414937322
2015-11-25,692,18360,0.03769063180827887
2015-11-26,304,10652,0.02853924145700338
2015-11-27,510,13175,0.03870967741935484
2015-11-28,285,9158,0.03112033195020747
2015-11-29,329,10275,0.032019464720194644
2015-11-30,611,18332,0.03332969670521493
2015-12-01,571,19877,0.028726669014438797
2015-12-02,743,20426,0.03637520806814844
2015-12-03,825,21154,0.038999716365699155
2015-12-04,550,18777,0.029291154071470416
2015-12-05,278,10195,0.027268268759195684
2015-12-06,381,11072,0.034411127167630055"
""
"2015-12-07,1039,19129,0.0543154372941607
2015-12-08,2109,20113,0.10485755481529359
2015-12-09,1787,20767,0.08604998314633794
2015-12-10,1525,20774,0.07340906902859344
2015-12-11,1575,18846,0.08357211079274117
2015-12-12,600,9877,0.060747190442442034
2015-12-13,657,9947,0.06605006534633558
2015-12-14,1207,17985,0.06711148179038087
2015-12-15,1662,20018,0.08302527725047457
2015-12-16,1609,21075,0.07634638196915777
2015-12-17,1097,19573,0.056046594798957745
