date,count,ratio,year,month
2013-06-17,36,0.0027347310847766,2013,6
2013-06-18,6,0.0004143932592029,2013,6
2013-06-19,5,0.0003476326218452,2013,6
2013-06-20,8,0.0006031817839101,2013,6
2013-06-21,26,0.0022007787370915,2013,6
2013-06-22,29,0.0042397660818713,2013,6
2013-06-23,60,0.0074349442379182,2013,6
2013-06-24,96,0.0071121647651503,2013,6
2013-06-25,87,0.0062414807374991,2013,6
2013-06-26,116,0.0083784759841097,2013,6
2013-06-27,203,0.0143869596031183,2013,6
2013-06-28,162,0.0136180228648285,2013,6
2013-06-29,170,0.0244287972409829,2013,6
2013-06-30,134,0.0181744201817442,2013,6
2013-07-01,227,0.0169314537182069,2013,7
2013-07-02,89,0.0068864128752708,2013,7
2013-07-03,52,0.0041824177591892,2013,7
2013-07-04,56,0.00671382328258,2013,7
2013-07-05,49,0.0044859470841343,2013,7
2013-07-06,40,0.0054355211305883,2013,7
2013-07-07,27,0.0034915298073192,2013,7
2013-07-08,23,0.001711182203705,2013,7
2013-07-09,23,0.0016994236737106,2013,7
2013-07-10,29,0.0019416175682913,2013,7
2013-07-11,24,0.0016177957532861,2013,7
2013-07-12,26,0.002198545577541,2013,7
2013-07-13,32,0.0047072668431891,2013,7
2013-07-14,35,0.0042960598993494,2013,7
2013-07-15,14,0.0009810791871058,2013,7
2013-07-16,18,0.0012149848126898,2013,7
2013-07-17,44,0.0032279363216198,2013,7
2013-07-18,190,0.0127090301003344,2013,7
2013-07-19,58,0.0037351880473982,2013,7
2013-07-20,9,0.0013572613482129,2013,7
2013-07-21,3,0.000382946132244,2013,7
2013-07-22,22,0.0016907470027666,2013,7
2013-07-23,27,0.0020535442652874,2013,7
2013-07-24,39,0.0026805966045776,2013,7
2013-07-25,12,0.0008643042350907,2013,7
2013-07-26,16,0.0012208148939417,2013,7
2013-07-27,3,0.0004131093362709,2013,7
2013-07-28,20,0.0024119633381572,2013,7
2013-07-29,11,0.0007381064215258,2013,7
2013-07-30,13,0.0008456934686442,2013,7
2013-07-31,10,0.0006601967386281,2013,7
2013-08-01,7,0.0004515546381112,2013,8
2013-08-02,9,0.0006590992310508,2013,8
2013-08-03,3,0.0003559563360227,2013,8
2013-08-04,2,0.0002178649237472,2013,8
2013-08-05,17,0.000631594590578,2013,8
2013-08-06,27,0.0008449646366652,2013,8
2013-08-07,14,0.0005665951677526,2013,8
2013-08-08,17,0.000865404194665,2013,8
2013-08-09,7,0.0004512635379061,2013,8
2013-08-10,7,0.0006396198830409,2013,8
2013-08-11,18,0.0010762975364745,2013,8
2013-08-12,20,0.0008291873963515,2013,8
2013-08-13,16,0.0007656235046415,2013,8
2013-08-14,3,0.0001879581479857,2013,8
2013-08-15,16,0.000920757322898,2013,8
2013-08-16,13,0.0007923447309075,2013,8
2013-08-17,17,0.0016258607498087,2013,8
2013-08-18,13,0.0016638935108153,2013,8
2013-08-19,794,0.0109163401388602,2013,8
2013-08-20,14,0.0008700515816294,2013,8
2013-08-21,5,0.0003109646122271,2013,8
2013-08-22,3,0.0002296914478217,2013,8
2013-08-23,7,0.0005014685865749,2013,8
2013-08-24,16,0.0023453532688361,2013,8
2013-08-25,10,0.001143118427069,2013,8
2013-08-26,10,0.0007808229874287,2013,8
