publish_date,title,media_name
2010-07-10,African National Congress condemns Yiull Damaso's painting of dead Nelson Mandela undergoing autopsy,nydailynews.com
2010-07-11,"FIFA pressuring Nelson Mandela to attend World Cup final, family says",nypost.com
2010-07-11,"Mandela to Greet Fans, but Will Watch Game at Home",nytimes.com
2010-07-11,Mandela Appears at Soccer City Before Final,nytimes.com
2010-07-11,Mandela Wows Fans Ahead Of World Cup Final,nytimes.com
2010-07-11,"Mandela Under Pressure by FIFA, Grandson Says",nytimes.com
2010-07-11,"FIFA pressuring Nelson Mandela to attend World Cup final, family says",nypost.com
2010-07-11,Mandela appears at closing ceremony,tampabay.com
2010-07-11,Nelson Mandela gets a rousing ovation at World Cup's closing ceremony,latimes.com
2010-07-11,Mandela appears at Soccer City before final,arkansasonline.com
2010-07-11,Nelson Mandela appears at closing ceremony at World Cup,foxnews.com
2010-07-18,Obama wishes Nelson Mandela a happy birthday,cnn.com
2010-07-18,South Africans celebrate Mandela Day,mercurynews.com
2010-07-19,Daily Kos: Overnight News Digest: Happy Mandela Day!,dailykos.com
2010-07-18,"Nelson Mandela's 92nd birthday marked with service, soccer",cleveland.com
2010-07-18,South Africans celebrate Mandela Day,mercurynews.com
2010-07-18,Nelson Mandela is 92. Happy Birthday,suntimes.com
2010-07-21,Reader recommendation: Mandela's Way,csmonitor.com
2010-07-24,Nelson Mandela's Grandchildren Robbed: South Africa's Tragedy,thedailybeast.com
2010-08-05,Nelson Mandela charity says it didn't receive diamonds Naomi Campbell said she gave ex-head,foxnews.com
2010-08-05,"Naomi Campbell, Mia Farrow, Nelson Mandela Charles Taylor",nationalreview.com
2010-08-06,Former Mandela Fund Official Says Model Gave Him Diamonds,nytimes.com
2010-08-06,Mandela’s Alleged Daughter Gets a Response,thedailybeast.com
2010-08-06,A New Safari Camp Has Ties to Mandela,nytimes.com
2010-08-06,A New Safari Camp Has Ties to Mandela,nytimes.com
2010-08-17,Daily Kos: What do Orly Taitz and Nelson Mandela have in common?,dailykos.com
2010-08-17,Daily Kos: What do Orly Taitz and Nelson Mandela have in common?,dailykos.com
2010-08-19,Mandela Aide Quits Over Diamonds,nytimes.com
2010-08-19,South African Mandela charity ex-chief cuts ties over supermodel and warlord diamond scandal,foxnews.com
2010-08-19,Nelson Mandela charity board member Jeremy Ratcliffe quits over 'Blood Diamonds' uproar,nydailynews.com
2010-08-18,Mandela charity official resigns amid blood diamond outcry,nypost.com
2010-08-18,Mandela charity official resigns amid blood diamond outcry,nypost.com
2010-08-22,The Muslim World Needs a Mandela,realclearpolitics.com
2010-10-01,Mandela charity ex-chief faces criminal charges,foxnews.com
2010-10-11,"Mandela book endorsed by anti-apartheid icon offers personal portrait, with faults, frailties",startribune.com
2010-10-11,A Glimpse Inside Nelson Mandela's Memoirs,cbsnews.com
2010-10-10,New Mandela book offers personal portrait,foxnews.com
2010-10-16,Conversations with Myself by Nelson Mandela: Review,thedailybeast.com
2010-10-20,The mundane and the moral: Mandela's 'Conversations With Myself',latimes.com
2010-06-11,"Review: Mandela as seen through his interviews, speeches, notes and other writings",mercurynews.com
2010-11-12,Mandela's fame draws tourists to an otherwise unremarkable village,csmonitor.com
2010-12-20,"Mandela son-in-law granted bail, may be extradited",kansascity.com
2011-01-07,"The Buzz: Norquist cites wisdom of Mandela, Brulte",sacbee.com
2011-06-01,Capitol Alert: Grover Norquist cites Nelson Mandela in warning against taxes,sacbee.com
2011-01-27,Nelson Mandela Hospitalized for Lung Infection,cbsnews.com
2011-01-27,"Mandela, 92, hospitalized for tests, current S. African president calls on media to back off",startribune.com
2011-01-27,A.M. national and world links: Mandela admitted to hospital; another winter storm in northeast; historic Kennedy hat is missing,cleveland.com
2011-01-27,"Mandela, 92, hospitalized for tests, current S. African president calls on media to back off",chicagotribune.com
2011-01-27,"Mandela, 92, hospitalized for tests in S. Africa",ajc.com
2011-01-27,Nelson Mandela Hospitalization Raises Worries,cbsnews.com
2011-01-27,"Mandela, 92, hospitalized for tests in S. Africa",foxnews.com
2011-01-27,Speculation Over Mandela’s Hospitalization,nytimes.com
2011-01-27,Nelson Mandela Hospitalization Raises Worries,cbsnews.com
2011-01-26,Mandela hospitalization raises concern over health,reuters.com
2011-01-27,Mandela hospitalized for tests in South Africa,arkansasonline.com
2011-01-27,"Mandela, 92, hospitalized for tests in S. Africa",miamiherald.com
2011-01-28,Africa: Nelson Mandela home from hospital,salon.com
2011-01-28,Mandela leaves hospital after treatment,chicagotribune.com
2011-01-28,"Mandela, 92, home from S. African hospital",foxnews.com
2011-01-28,"Nelson Mandela, 92, home from South African hospital",twincities.com
2011-01-28,South Africans relieved as Mandela heads home,latimes.com
2011-01-28,South Africans relieved as Mandela heads home,latimes.com
2011-01-28,Nelson Mandela Released from Hospital,cbsnews.com
2011-01-28,South Africans relieved as Mandela heads home,latimes.com
2011-01-28,Mandela Leaves Hospital after Treatment,newsmax.com
2011-01-27,"Mandela, 92, home from S. African hospital",kansascity.com
2011-01-28,"Mandela, 92, home from S. African hospital",kansascity.com
2011-01-28,South Africans relieved as Mandela heads home,latimes.com
2011-01-28,"Nelson Mandela, 92, remains hospitalized; rumors swirl in South Africa",latimes.com
2011-01-28,South Africans relieved as Mandela heads home,latimes.com
2011-01-28,"Nelson Mandela, 92, remains hospitalized; rumors swirl in South Africa",latimes.com
2011-01-28,South Africans relieved as Mandela heads home,latimes.com
2011-01-28,Mandela discharged from hospital,upi.com
2011-01-27,Mandela leaves hospital after treatment,reuters.com
2011-01-28,Mandela Returns Home From Hospital,nytimes.com
2011-01-28,Mandela leaves hospital after treatment,courant.com
